Disease	Type
"Myopathy, Myofibrillar, 12, Infantile-Onset, with Cardiomyopathy"	"2,3,11,21"
Chondromyxoid Fibroma	"2,24"
Genitopalatocardiac Syndrome	"2,5,12,13,20,24"
Igg4-Related Mediastinitis	"2,16,24"
Melorheostosis with Osteopoikilosis	"2,20,21,24"
Non-Syndromic Metopic Craniosynostosis	"2,6,20,24"
Tibial Aplasia-Ectrodactyly Syndrome	"2,20,24"
"Pituitary Hormone Deficiency, Combined or Isolated, 7"	"2,5,21"
Interstitial Granulomatous Dermatitis with Arthritis	"2,17,24"
Rabin-Pappas Syndrome	"2,13,21"
"Dysostosis Multiplex, Ain-Naz Type"	"2,18,21"
Osteochondrosis of the Metatarsal Bone	"2,24"
Bone Deterioration Disease	2
"Spondyloepimetaphyseal Dysplasia, Krakow Type"	"2,8,10,21"
Ankyloblepharon Filiforme Adnatum and Cleft Palate	"2,6,10,17,20,24"
Amelia	"2,20,24"
Liposarcoma of Bone	"2,19"
Orbital Cyst	"2,6"
Mseleni Joint Disease	"2,20,24"
Bone Structure Disease	2
Chondroid Chordoma	"2,19"
Intellectual Developmental Disorder with Impaired Language and Dysmorphic Facies	"2,10,21"
Achilles Bursitis	2
Baastrup's Syndrome	2
"Clavicle, Pseudarthrosis of, Congenital"	"2,20,24"
Adult Xanthogranuloma	"2,8,17,19,24"
Clivus Chondroid Chordoma	"2,19"
Clivus Chordoma	"2,19"
"Branchial Arch Syndrome, X-Linked"	"2,4,13,20,24"
"Split-Hand with Obstructive Uropathy, Spina Bifida, and Diaphragmatic Defects"	"2,12,20,24"
Chronic Nonbacterial Osteomyelitis/chronic Recurrent Multifocal Osteomyelitis	"2,17,24"
Dedifferentiated Chondrosarcoma	"2,19"
"Polydactyly, Postaxial, with Progressive Myopia"	"2,20,21,24"
Ehlers-Danlos/osteogenesis Imperfecta Syndrome	"2,17,20,24"
Intraorbital Meningioma	"2,13,19"
"Craniostenosis, Sagittal, with Congenital Heart Disease, Mental Deficiency, and Mandibular Ankylosis"	"2,13,20,24"
"Ulna and Fibula, Hypoplasia of"	"2,20,24"
Femoral Agenesis/hypoplasia	"2,14,20,24"
"Mesomelic Dysplasia, Savarirayan Type"	"2,20,24"
Craniofaciofrontodigital Syndrome	"2,13,17,20,24"
Benign Cephalic Histiocytosis	"2,17,24"
Ulnar/fibular Ray Defect and Brachydactyly	"2,20,24"
Chromosome 6q11-Q14 Deletion Syndrome	"2,4,12,21"
"Spondylometaphyseal Dysplasia, X-Linked"	"2,20,24"
Dysbaric Osteonecrosis	2
"Chondrodysplasia Punctata, Tibia-Metacarpal Type"	"2,20,24"
Igg4-Related Sclerosing Cholangitis	"2,9,24"
"Endove Syndrome, Limb-Brain Type"	"2,13,21"
Dysspondyloenchondromatosis	"2,20,24"
Hemifacial Hyperplasia with Strabismus	"2,6,13,20,24"
Drug-Induced Vasculitis	"2,3,8,24"
Genochondromatosis	"2,20,24"
Progressive Nodular Histiocytosis	"2,17,24"
Idiopathic Recurrent Pericarditis	"2,24"
Handigodu Joint Disease	"2,20,24"
"Lethal Short-Limb Skeletal Dysplasia, Al Gazali Type"	"2,20,24"
Radiohumeral Fusions with Other Skeletal and Craniofacial Anomalies	"2,20,21,24"
Igg4-Related Aortitis	"2,24"
"Membranous Cranial Ossification, Delayed"	"2,4,20,24"
"Lipodystrophy, Generalized, with Mental Retardation, Deafness, Short Stature, and Slender Bones"	"2,4,5,13,17,20,24"
Chromosome 17q23.1-Q23.2 Duplication Syndrome	"2,20,21,24"
Orbital Osteomyelitis	2
"Rhizomelic Dysplasia, Patterson-Lowry Type"	"2,14,20,24"
Hereditary Angioedema with C1inh Deficiency	"2,8,24"
Sella Turcica Neoplasm	"2,19"
Brachydactyly-Ectrodactyly with Fibular Aplasia or Hypoplasia	"2,20,24"
Coxoauricular Syndrome	"2,4,20,24"
Cleidorhizomelic Syndrome	"2,20,21,24"
"Spondyloepimetaphyseal Dysplasia, Irapa Type"	"2,20,24"
Osteochondrosis of the Tarsal Bone	"2,24"
Lumbosacral Lipoma	"2,19"
Thoracomelic Dysplasia	"2,16,20,24"
"Spondyloepiphyseal Dysplasia Tarda, Autosomal Dominant"	"2,21"
Ectrodactyly-Polydactyly	"2,20,24"
"Kniest-Like Dysplasia, Lethal"	"2,20,24"
Bone Chondrosarcoma	"2,19"
"Dysplasia of Head of Femur, Meyer Type"	"2,20,24"
Multisystem Inflammatory Syndrome in Children and Adults	"2,24"
Hyperphalangy	"2,20,24"
Tetramelic Monodactyly	"2,20,24"
Primary Cutaneous Plasmacytosis	"2,17,24"
"Rhizomelic Syndrome, Urbach Type"	"2,16,20,24"
Congenital Absence of Upper Arm and Forearm with Hand Present	"2,20,24"
Eosinophilic Angiocentric Fibrosis	"2,24"
"Brachydactyly, Mononen Type"	"2,20,24"
Orbital Tenonitis	"2,6"
Pelvic Dysplasia-Arthrogryposis of Lower Limbs Syndrome	"2,11,20,24"
Multiple Epiphyseal Dysplasia with Robin Phenotype	"2,20,24"
Pseudohypoparathyroidism with Albright Hereditary Osteodystrophy	"2,5,6,12,17,20,24"
Hallux Varus and Preaxial Polysyndactyly	"2,20,24"
Non-Syndromic Craniosynostosis	"2,20,24"
Spondylospinal Thoracic Dysostosis	"2,16,24"
Juxtacortical Chondrosarcoma	"2,19"
Sacrum Chordoma	"2,19"
Humero-Radio-Ulnar Synostosis	"2,20,24"
Sinding-Larsen-Johansson Disease	"2,24"
Sillence Syndrome	"2,20,24"
Fibroblastic Rheumatism	"2,24"
Hereditary Distal Renal Tubular Acidosis	"2,4,11,12,20,21,23,24"
Oromandibular-Limb Hypogenesis Syndrome	"2,14,20,24"
Spondylocamptodactyly	"2,20,24"
Primary Basilar Invagination	"2,10,13,24"
Spondyloepiphyseal Dysplasia with Atlantoaxial Instability	"2,20,24"
Wahab Syndrome	"2,20,24"
Ulna Hypoplasia-Intellectual Disability Syndrome	"2,13,20,24"
Lateral Displacement of Eye	"2,6"
Classic Pyoderma Gangrenosum	"2,17,24"
Dysplastic Cortical Hyperostosis	"2,20,24"
Magic Syndrome	"2,24"
Acheiria	"2,20,24"
Phalangeal Microgeodic Syndrome	"2,20,24"
Spondyloepimetaphyseal Dysplasia with Abnormal Dentition	"2,20,24"
Lethal Chondrodysplasia	"2,11,16,20,24"
Syndactyly-Polydactyly-Earlobe Syndrome	"2,4,20,24"
Rare Systemic Disease	"2,24"
External Auditory Canal Atresia-Vertical Talus-Hypertelorism Syndrome	"2,4,20,24"
Craniofrontonasal Dysplasia-Poland Anomaly Syndrome	"2,15,20,24"
"Metaphyseal Chondrodysplasia, Kaitila Type"	"2,20,24"
Acrodysplasia Scoliosis	"2,20,24"
Ossification Anomalies-Psychomotor Developmental Delay Syndrome	"2,10,13,16,20,24"
Craniofacial Conodysplasia	"2,20,24"
Autosomal Dominant Myopia-Midfacial Retrusion-Sensorineural Hearing Loss-Rhizomelic Dysplasia Syndrome	"2,4,20,24"
"Myopathy, Distal, Infantile-Onset"	"2,11,13,21,24"
Traumatic Avascular Necrosis	"2,24"
Hereditary Pediatric Behcet-Like Disease	"2,24"
"Epiphyseal Dysplasia, Multiple, with Miniepiphyses"	"2,20,24"
Duane Anomaly-Myopathy-Scoliosis Syndrome	"2,6,20,24"
Spondylometaphyseal Dysplasia with Bowed Forearms and Facial Dysmorphism	"2,20,24"
Kat6b-Related Multiple Congenital Anomalies Syndrome	"2,13,20,24"
Frontonasal Dysplasia-Bifid Nose-Upper Limb Anomalies Syndrome	"2,18,20,24"
"Craniosynostosis, Calcification of Basal Ganglia, and Facial Dysmorphism"	"2,20,24"
Neonatal Antiphospholipid Syndrome	"2,8,24"
Hypocalcemic Rickets	"2,5,20,24"
Osteoporosis-Macrocephaly-Blindness-Joint Hyperlaxity Syndrome	"2,20,24"
Congenital Pseudoarthrosis of the Fibula	"2,20,24"
Congenital Pseudoarthrosis of the Ulna	"2,20,24"
Melhem-Fahl Syndrome	"2,20,24"
Mirror Polydactyly-Vertebral Segmentation-Limbs Defects Syndrome	"2,20,24"
"Spondyloepiphyseal Dysplasia Tarda, Autosomal Recessive, Leroy-Spranger Type"	"2,21"
Congenital Pseudoarthrosis of the Radius	"2,20,24"
Neonatal Autoimmune Hemolytic Anemia	"2,24"
Acromelic Dysplasia	"2,20,24"
Marfan Syndrome and Marfan-Related Disorders	"2,24"
Childhood Extraosseous Osteosarcoma	"2,19"
Spondyloepiphyseal Dysplasia and Spondyloepimetaphyseal Dysplasia	"2,20,24"
Absent Tibia-Polydactyly-Arachnoid Cyst Syndrome	"2,20,24"
Non-Syndromic Unicoronal Craniosynostosis	"2,20,24"
Multiple Epiphyseal Dysplasia and Pseudoachondroplasia	"2,20,24"
Otomandibular Dysplasia	"2,4,20,24"
Trigonocephaly-Broad Thumbs Syndrome	"2,20,24"
Overlapping Connective Tissue Disease	"2,24"
Idiopathic Phalangeal Acro-Osteolysis	"2,24"
Primary Bone Dysplasia with Multiple Joint Dislocations	"2,20,24"
Eyebrow Duplication-Syndactyly Syndrome	"2,6,17,20,24"
Bipartite Talus	"2,20,24"
Familial Scaphocephaly Syndrome	"2,20,21,24"
Non-Syndromic Preaxial Polydactyly	"2,20,24"
Longitudinal Limb Defect	"2,20,24"
Acquired Angioedema with C1inh Deficiency	"2,8,24"
Primary Bone Dysplasia with Decreased Bone Density	"2,20,24"
Primary Bone Dysplasia with Micromelia	"2,20,24"
Lama5-Related Multisystemic Syndrome	"2,24"
Bone Ameloblastoma	"2,19"
Intercalary Limb Defects	"2,20,24"
Childhood Mesenchymal Chondrosarcoma	"2,19"
Spondylodysplastic Dysplasia	"2,20,24"
Sbds-Related Severe Neonatal Spondylometaphyseal Dysplasia	"2,20,24"
Non-Syndromic Non-Specific Multisutural Craniosynostosis	"2,20,24"
Non-Syndromic Bilambdoid Craniosynostosis	"2,20,24"
Non-Syndromic Unifrontosphenoidal Craniosynostosis	"2,20,24"
Familial Clubfoot with or Without Associated Lower Limb Anomalies	"2,20,21,24"
Slender Bone Dysplasia	"2,20,24"
Severe Lateral Tibial Bowing-Short Stature-Mild Winged Scapula-Mild Facial Dysmorphism Syndrome	"2,20,24"
Finger Hyperphalangy-Toe Anomalies-Severe Pectus Excavatum Syndrome	"2,20,24"
Radial Deficiency-Tibial Hypoplasia Syndrome	"2,20,24"
Childhood Myxoid Chondrosarcoma	"2,19"
Non-Syndromic Bicoronal and Sagittal Craniosynostosis	"2,20,24"
Non-Syndromic Pansynostosis	"2,20,24"
Overgrowth Syndrome with 2q37 Translocation	"2,20,24"
Non-Syndromic Bicoronal and Metopic Craniosynostosis	"2,20,24"
Non-Syndromic Unicoronal and Sagittal Craniosynostosis	"2,20,24"
Non-Syndromic Multisutural Craniosynostosis	"2,20,24"
Psapash Syndrome	"2,17,24"
Neonatal Osteosclerotic Dysplasia	"2,20,24"
Preaxial Digit Brachydactyly-Webbed Fingers	"2,20,24"
Metachronous Osteosarcoma of the Bone	"2,19"
Unclassified Autoinflammatory Syndrome	"2,24"
Antley-Bixler Syndrome Without Disordered Steroidogenesis	"2,21"
Unexplained Periodic Fever Syndrome	"2,24"
Ganglion or Cyst of Synovium/tendon/bursa	"2,11"
Granulomatous Autoinflammatory Syndrome	"2,24"
"Non-Syndromic Polydactyly, Syndactyly and/or Hyperphalangy"	"2,20,24"
"Deafness Mixed with Perilymphatic Gusher, X-Linked"	"2,4,24"
Ectrodactyly with and Without Other Manifestations	"2,20,24"
Dysostosis with Brachydactyly with Extraskeletal Manifestations	"2,20,24"
Dysostosis with Brachydactyly Without Extraskeletal Manifestations	"2,20,24"
Cleidocranial Dysplasia and Isolated Cranial Ossification Defect	"2,20,24"
Ross River Fever	"2,22"
Barmah Forest Virus Disease	"2,22"
Danon Disease	"2,3,11,13,21,23,24"
Neurodevelopmental Disorder with Dysmorphic Facies and Skeletal and Brain Abnormalities	"2,10,13,21"
Carpal Tunnel Syndrome	"2,11,13,21"
"Neurodevelopmental Disorder with Hypotonia, Dysmorphic Facies, and Skeletal Anomalies, with or Without Seizures"	"2,10,13,21"
Corneodermatoosseous Syndrome	"2,6,17,20,24"
Intellectual Developmental Disorder with Muscle Tone Abnormalities and Distal Skeletal Defects	"2,10,11,21"
Scapuloperoneal Spinal Muscular Atrophy	"2,11,13,21,24"
Isolated Growth Hormone Deficiency	"2,5,21,24"
Craniofacial-Deafness-Hand Syndrome	"2,4,18,20,21,24"
Cytochrome P450 Oxidoreductase Deficiency	"2,5,15,21,23"
Congenital Myopathy 5 with Cardiomyopathy	"2,3,11,13,21,24"
Sweeney-Cox Syndrome	"2,4,6,21"
Body Mass Index Quantitative Trait Locus 11	"2,5,21,23"
Retinitis Pigmentosa	"2,4,6,9,12,13,21,24"
Noonan Syndrome 1	"2,3,4,5,6,10,12,13,15,17,20,21,24"
Systemic Scleroderma	"2,8,12,16,17,24"
Coffin-Siris Syndrome 1	"2,6,10,13,14,18,20,21,24"
Kawasaki Disease	"2,3,8,24"
Osteochondrodysplasia	"2,24"
"Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, and Genital Anomalies"	"2,5,20,21,24"
Intervertebral Disc Disease	"2,11,13,21,24"
Lacrimoauriculodentodigital Syndrome 1	"2,4,5,6,14,17,18,20,21,24"
Greig Cephalopolysyndactyly Syndrome	"2,6,13,17,20,21,24"
Hurler-Scheie Syndrome	"2,6,13,20,21,23,24"
Familial Thoracic Aortic Aneurysm and Aortic Dissection	"2,3,21,24"
Granulomatosis with Polyangiitis	"2,3,8,12,13,16,17,24"
"Thanatophoric Dysplasia, Type I"	"2,20,21,24"
"Craniometaphyseal Dysplasia, Autosomal Dominant"	"2,4,13,20,21,24"
Dermatomyositis	"2,8,11,12,13,17,24"
Paramyotonia Congenita of Von Eulenburg	"2,11,13,21,24"
Osteochondritis Dissecans	"2,21,24"
Churg-Strauss Syndrome	"2,3,8,12,13,16,24"
Paget's Disease of Bone	"2,3,4,19,20,21,24"
Pseudoachondroplasia	"2,11,20,21,24"
"Spondyloepimetaphyseal Dysplasia, Strudwick Type"	"2,6,20,21,24"
Weyers Acrofacial Dysostosis	"2,17,20,21,24"
Goodpasture Syndrome	"2,3,8,12,16,24"
"Plasminogen Deficiency, Type I"	"2,6,21,24"
Fibrosarcoma	"2,19,24"
Cenani-Lenz Syndactyly Syndrome	"2,20,21,24"
Angioedema	"2,7,8,14,16,17,21,24"
Frontonasal Dysplasia 1	"2,6,13,15,17,20,21,24"
Pyoderma Gangrenosum	"2,17,24"
Weill-Marchesani Syndrome	"2,6,17,20,21,24"
Frank-Ter Haar Syndrome	"2,20,21,24"
"Autoinflammation, Panniculitis, and Dermatosis Syndrome"	"2,3,8,17,21,24"
Frontometaphyseal Dysplasia	"2,4,13,20,21,24"
Fetal Encasement Syndrome	"2,17,20,21,24"
Bone Cancer	"2,19,24"
Acrodysostosis	"2,4,20,24"
"Mandibulofacial Dysostosis, Guion-Almeida Type"	"2,13,20,21,24"
Metatropic Dysplasia	"2,16,20,21,24"
Osteochondrosis	"2,24"
Schnitzler Syndrome	"2,8,24"
"Metaphyseal Chondrodysplasia, Schmid Type"	"2,20,21,24"
Teratoma	"2,15,19"
Exostosis	"2,6"
Primary Hypertrophic Osteoarthropathy	"2,7,16,17,20,21,24"
Achondrogenesis	"2,16,20,21,24"
Gnathodiaphyseal Dysplasia	"2,14,20,21,24"
"Clubfoot, Congenital, with or Without Deficiency of Long Bones and/or Mirror-Image Polydactyly"	"2,20,21,24"
Sapho Syndrome	"2,8,17,24"
"Dyssegmental Dysplasia, Silverman-Handmaker Type"	"2,6,20,21,24"
Camptodactyly-Arthropathy-Coxa Vara-Pericarditis Syndrome	"2,21,24"
Spondyloperipheral Dysplasia	"2,4,20,21,24"
"Spondylometaepiphyseal Dysplasia, Short Limb-Hand Type"	"2,20,21,24"
Codas Syndrome	"2,4,6,10,13,20,21,24"
"Short Stature, Onychodysplasia, Facial Dysmorphism, and Hypotrichosis"	"2,20,21,24"
Tenosynovitis	"2,11"
Hartsfield Syndrome	"2,13,20,21,24"
Filippi Syndrome	"2,13,20,21,24"
Antley-Bixler Syndrome	"2,13,20,24"
Leri-Weill Dyschondrosteosis	"2,11,20,21,24"
"Short Rib-Polydactyly Syndrome, Verma-Naumoff Type"	"2,16,20,24"
"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type"	"2,16,20,21,24"
"Spondylometaphyseal Dysplasia, Kozlowski Type"	"2,20,21,24"
"Spondyloepimetaphyseal Dysplasia, Missouri Type"	"2,20,21,24"
Eiken Syndrome	"2,20,21,24"
Wild-Type Amyloidosis	"2,3,23,24"
Bruck Syndrome	"2,14,20,21,24"
Parastremmatic Dwarfism	"2,20,21,24"
Periodontal Ehlers-Danlos Syndrome	"2,3,14,17,20,21,24"
Mesenchymal Cell Neoplasm	"2,19"
Immunodeficiency 18	"2,8,21"
Basilicata-Akhtar Syndrome	"2,10,13,21"
Au-Kline Syndrome	"2,3,13,20,21,24"
"Nephrolithiasis, X-Linked Recessive, with Renal Failure"	"2,12,21"
Auriculocondylar Syndrome	"2,4,10,16,20,21,24"
Desmosterolosis	"2,13,20,21,23,24"
Diaphanospondylodysostosis	"2,20,21,24"
Orbital Cellulitis	"2,6"
Hypochondrogenesis	"2,16,20,21,24"
Orbital Cancer	"2,6,19"
Neonatal Marfan Syndrome	"2,3,24"
Multiple Synostoses Syndrome	"2,4,18,20,21,24"
Kimura Disease	"2,8,17,24"
Multicentric Reticulohistiocytosis	"2,11,17,24"
"Spondyloepiphyseal Dysplasia, Maroteaux Type"	"2,20,21,24"
"Acrofacial Dysostosis, Cincinnati Type"	"2,21"
Erythema Elevatum Diutinum	"2,3,17,24"
"Epiphyseal Chondrodysplasia, Miura Type"	"2,14,20,21,24"
"Preaxial Deficiency, Postaxial Polydactyly, and Hypospadias"	"2,7,20,21,24"
Malan Syndrome	"2,13,20,21,24"
Antley-Bixler Syndrome with Genital Anomalies and Disordered Steroidogenesis	"2,5,13,15,20,21,24"
Spondylometaphyseal Dysplasia with Corneal Dystrophy	"2,3,6,10,13,16,20,21,24"
Clear Cell Chondrosarcoma	"2,19"
Igg4-Related Retroperitoneal Fibrosis	"2,12,24"
Beukes Hip Dysplasia	"2,14,20,21,24"
Brachydactyly-Syndactyly Syndrome	"2,20,21,24"
Blount's Disease	"2,20,21,24"
"Spondylometaphyseal Dysplasia, Megarbane-Dagher-Melki Type"	"2,10,20,21,24"
Steel Syndrome	"2,20,21,24"
Mohr Syndrome	"2,4,13,14,20,24"
"Intellectual Developmental Disorder, X-Linked, Syndromic 13"	"2,4,10,13,20,21,24"
"Patella, Chondromalacia of"	"2,14"
Langer Mesomelic Dysplasia	"2,20,21,24"
Autosomal Recessive Cutis Laxa Type Ii Classic Type	"2,13,17,20,21,23,24"
Robin Sequence with Cleft Mandible and Limb Anomalies	"2,4,20,21,24"
Osteonecrosis of the Jaw	"2,14,24"
Hypocalcemic Vitamin D-Dependent Rickets	"2,5,20,24"
Polyradiculopathy	"2,11,13"
"Spondyloepiphyseal Dysplasia, Sensorineural Hearing Loss, Impaired Intellectual Development, and Leber Congenital Amaurosis"	"2,4,6,13,20,21,24"
Kikuchi-Fujimoto Disease	"2,8,14,24"
Humeroradial Synostosis	"2,20,24"
Conventional Osteosarcoma	"2,19"
Mandibuloacral Dysplasia Progeroid Syndrome	"2,12,20,21,24"
"Ehlers-Danlos Syndrome, Cardiac Valvular Type"	"2,3,17,20,21,24"
Skull Base Cancer	"2,19"
Hereditary Transthyretin Amyloidosis	"2,3,5,13,21,23,24"
"Chondrodysplasia Punctata, Brachytelephalangic, Autosomal"	"2,20,23,24"
Becker Nevus Syndrome	"2,11,15,17,20,24"
Brachyolmia	"2,20,21,24"
Axial Osteomalacia	"2,24"
Hypocomplementemic Urticarial Vasculitis	"2,3,12,24"
Skeletal Ewing Sarcoma	"2,19,24"
Cap Myopathy	"2,11,13,16,24"
Kinsship Syndrome	"2,10,12,13,20,21,24"
"Short Stature, Brachydactyly, Impaired Intellectual Development, and Seizures"	"2,5,10,13,20,21,23,24"
Tibial Hemimelia	"2,20,24"
Juberg-Hayward Syndrome	"2,20,21,24"
Czech Dysplasia	"2,20,21,24"
Susac Syndrome	"2,3,6,13,24"
Psoriasis-Related Juvenile Idiopathic Arthritis	"2,16,21,24"
Kenny-Caffey Syndrome	"2,5,6,20,21,24"
Malignant Fibrous Histiocytoma of Bone	"2,19"
Sialic Acid Storage Disease	"2,9,12,13,21,23,24"
"Growth Hormone Insensitivity Syndrome with Immune Dysregulation 1, Autosomal Recessive"	"2,5,8,21"
12q14 Microdeletion Syndrome	"2,13,20,24"
Sugarman Brachydactyly	"2,20,24"
Childhood Osteosarcoma	"2,19"
Telangiectatic Osteogenic Sarcoma	"2,19"
Microphthalmia/coloboma and Skeletal Dysplasia Syndrome	"2,6,13,20,21,24"
"Congenital Hypotonia, Epilepsy, Developmental Delay, and Digital Anomalies"	"2,10,13,21"
Peripheral Osteosarcoma	"2,19"
Isolated Klippel-Feil Syndrome	"2,20,24"
Orbit Embryonal Rhabdomyosarcoma	"2,19,20"
"Spondyloepimetaphyseal Dysplasia, Faden-Alkuraya Type"	"2,10,13,20,21,24"
Metaphyseal Dysplasia with Maxillary Hypoplasia with or Without Brachydactyly	"2,14,18,20,21,24"
Spondylo-Megaepiphyseal-Metaphyseal Dysplasia	"2,20,21,24"
Radial Hemimelia	"2,20,24"
"Heart-Hand Syndrome, Slovenian Type"	"2,3,11,20,21,24"
Wildervanck Syndrome	"2,4,6,20,24"
"Mesomelic Dysplasia, Kantaputra Type"	"2,20,24"
Enthesitis-Related Juvenile Idiopathic Arthritis	"2,6,11,16,24"
Craniometadiaphyseal Dysplasia	"2,20,24"
Neonatal Myasthenia Gravis	"2,6,8,13,20,24"
Sodium-Dependent Multivitamin Transporter Deficiency	"2,8,13,21,23"
Hemifacial Microsomia with Radial Defects	"2,20,24"
"Osteochondrodysplasia, Complex Lethal, Symoens-Barnes-Gistelinck Type"	"2,20,21,24"
Postorgasmic Illness Syndrome	"2,6,10,24"
Xanthoma Disseminatum	"2,5,6,17,24"
Brachymorphism-Onychodysplasia-Dysphalangism Syndrome	"2,13,20,24"
Macrophagic Myofasciitis	"2,11,13,24"
Kyphomelic Dysplasia	"2,20,24"
"Spondyloepimetaphyseal Dysplasia, Shohat Type"	"2,9,20,21,24"
Craniosynostosis and Dental Anomalies	"2,4,14,20,21,24"
Igg4-Related Kidney Disease	"2,12,24"
Non-Syndromic Bicoronal Craniosynostosis	"2,6,13,20,24"
Mazabraud Syndrome	"2,19,20,24"
Small Cell Osteogenic Sarcoma	"2,19"
"Campomelia, Cumming Type"	"2,8,13,20,24"
Split-Foot Malformation with Mesoaxial Polydactyly	"2,4,17,20,21,24"
Bone Benign Neoplasm	"2,19"
Fibrosarcomatous Osteosarcoma	"2,19"
Spondyloepiphyseal Dysplasia-Brachydactyly and Distinctive Speech	"2,6,20,24"
Petrositis	"2,4,22"
Foramen Magnum Meningioma	"2,13,19"
"Macroglobulinemia, Waldenstrom 1"	"2,8,19,21"
"Joint Laxity, Familial"	"2,11,17,20,21,24"
Thoracolaryngopelvic Dysplasia	"2,16,20,24"
Non-Histaminic Angioedema	"2,8,24"
"Spondyloepimetaphyseal Dysplasia, Isidor-Toutain Type"	"2,20,21,24"
Vitamin Metabolic Disorder	"2,5,20,21,23,24"
Teebi-Shaltout Syndrome	"2,14,17,20,24"
Immunoglobulin Heavy Chain Amyloidosis	"2,8,12,19,23,24"
"Developmental Delay with Short Stature, Dysmorphic Facial Features, and Sparse Hair 1"	"2,10,21"
"Metaphyseal Undermodeling, Spondylar Dysplasia, and Overgrowth"	"2,18,20,24"
Osteoporosis and Oculocutaneous Hypopigmentation Syndrome	"2,20,24"
Mammary-Digital-Nail Syndrome	"2,15,20,24"
"Spondylometaphyseal Dysplasia, Algerian Type"	"2,20,24"
"Zinc, Elevated Plasma"	"2,17,21,23,24"
Multifocal Osteogenic Sarcoma	"2,19"
Kienbock Disease	"2,24"
White-Kernohan Syndrome	"2,10,21"
"Alar Cleft, Isolated"	"2,18,20,24"
Inflammatory Myopathy with Abundant Macrophages	"2,13,17,24"
Lowry-Maclean Syndrome	"2,6,13,20,24"
"Dyssegmental Dysplasia, Rolland-Desbuquois Type"	"2,10,20,24"
Acropectoral Syndrome	"2,14,20,24"
Short Stature and Microcephaly with Genital Anomalies	"2,10,15,21"
Hemimelia	"2,20,24"
Ulnar Hemimelia	"2,20,24"
Sternum Cancer	"2,19"
"Immunodeficiency 14b, Autosomal Recessive"	"2,8,21"
Resistance to Thyroid Hormone Due to a Mutation in Thyroid Hormone Receptor Alpha	"2,5,18,24"
Summitt Syndrome	"2,20,24"
Idiopathic Avascular Necrosis	"2,24"
Mueller-Weiss Syndrome	"2,24"
Heart-Hand Syndrome Type 2	"2,20,21,24"
"Multiple Pterygium Syndrome, X-Linked"	"2,10,20,24"
"Histiocytosis, Progressive Mucinous"	"2,17,24"
Cylindrical Spirals Myopathy	"2,11,13,24"
"Brachydactyly, Preaxial, with Hallux Varus and Thumb Abduction"	"2,20,24"
Edinburgh Malformation Syndrome	"2,10,20,24"
Hereditary Angioedema with Normal C1inh	"2,8,24"
Syndromic Craniosynostosis	"2,20,24"
Rhabdomyolysis 1	"2,11,21"
Clivus Meningioma	"2,13,19"
Angioosteohypotrophic Syndrome	"2,3,20,24"
"Cardiomyopathy, Familial Hypertrophic, 29, with Polyglucosan Bodies"	"2,3,11,21"
